datetime,tempmax,tempmin,temp,dew,winddir,sealevelpressure,cloudcover,visibility,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
01-01-2015,21.0,9.0,14.4,10.6,10.9,1017.0,58.9,0.7,313.22,607.98,69.16,36.39,110.59,33.85,14.31,10.34,41.68,13.47,24.86,472.0
02-01-2015,15.5,12.0,14.2,12.8,95.6,1018.0,81.4,1.4,186.18,269.55,62.09,32.87,88.14,31.83,8.07,8.17,29.97,10.32,20.09,454.0
03-01-2015,17.0,13.0,14.8,13.5,303.9,1017.3,92.9,0.9,87.18,131.9,25.73,30.31,47.95,69.55,7.84,2.3,19.71,3.67,10.23,143.0
04-01-2015,18.0,10.0,13.8,10.9,296.7,1019.2,46.5,0.8,151.84,241.84,25.01,36.91,48.62,130.36,9.64,5.19,25.36,4.28,9.71,319.0
05-01-2015,20.5,8.0,13.1,8.5,288.5,1016.3,12.7,1.6,146.6,219.13,14.01,34.92,38.25,122.88,6.69,3.71,23.2,3.08,6.21,325.0
06-01-2015,17.1,9.0,11.7,8.6,296.2,1015.2,33.2,0.8,149.58,252.1,17.21,37.84,42.46,134.97,6.91,3.6,26.83,4.04,7.35,318.0
07-01-2015,13.6,6.0,9.7,8.2,291.2,1015.8,33.6,0.7,217.87,376.51,26.99,40.15,52.41,134.82,7.32,6.02,28.96,5.33,9.42,353.0
08-01-2015,12.9,7.0,9.0,7.9,275.8,1018.2,55.0,0.3,229.9,360.95,23.34,43.16,51.21,138.13,8.4,3.02,30.51,6.94,11.4,383.0
09-01-2015,15.0,7.0,9.6,7.7,288.9,1019.5,50.1,0.9,201.66,397.43,19.18,38.56,45.6,140.6,7.25,3.19,32.94,6.26,11.12,375.0
10-01-2015,17.0,7.8,11.1,8.0,292.4,1018.4,6.1,1.3,221.02,361.74,24.79,46.39,55.19,134.06,7.4,5.44,34.12,5.0,9.44,376.0
11-01-2015,15.0,7.0,10.3,7.7,304.3,1018.5,29.2,0.8,205.41,393.2,28.46,47.29,57.88,131.1,7.08,4.7,50.37,5.93,10.59,379.0
12-01-2015,16.0,6.7,10.8,8.4,112.6,1018.8,41.4,0.8,212.41,345.63,24.77,44.71,54.66,148.51,5.07,6.08,40.08,6.3,10.68,375.0
13-01-2015,17.5,6.0,10.9,8.5,121.2,1016.9,28.2,0.7,197.61,301.04,34.28,45.88,62.95,145.48,8.14,5.29,39.54,5.46,9.5,366.0
14-01-2015,15.0,9.3,12.2,9.9,115.5,1016.3,60.9,1.0,164.39,227.38,20.78,41.17,48.09,166.7,7.32,4.99,42.05,4.66,10.72,353.0
15-01-2015,18.0,5.0,11.1,8.4,275.9,1019.0,21.2,0.5,166.19,283.93,47.91,56.7,79.73,124.64,7.67,6.1,43.25,7.04,20.55,340.0
16-01-2015,19.5,8.0,12.2,10.2,265.2,1018.9,36.1,0.6,174.98,309.99,42.33,49.41,70.6,136.4,8.99,4.04,34.7,7.71,15.83,356.0
17-01-2015,21.0,8.0,13.0,10.2,288.6,1018.7,29.9,0.9,196.46,356.2,42.18,53.04,80.18,125.49,7.35,5.16,25.77,9.53,17.59,360.0
18-01-2015,21.0,6.0,12.6,8.8,284.2,1018.4,9.1,0.9,201.51,359.75,45.51,53.77,75.83,120.45,8.37,5.74,23.22,8.91,20.95,370.0
19-01-2015,20.0,8.4,13.0,9.9,268.3,1018.4,34.2,0.7,183.35,305.13,27.32,39.88,55.67,148.49,7.97,5.3,25.34,5.21,12.93,362.0
20-01-2015,17.6,10.0,12.8,10.3,127.8,1019.5,63.9,0.8,165.63,257.04,16.47,34.23,37.68,146.31,6.92,4.81,22.69,3.85,6.76,340.0
21-01-2015,17.0,10.0,12.9,10.2,104.8,1020.5,64.4,1.2,159.54,235.27,12.27,22.56,33.02,63.23,8.21,6.52,18.56,4.73,8.26,338.0
22-01-2015,13.2,11.0,12.4,11.4,101.0,1020.0,90.9,0.9,143.68,183.89,14.75,21.82,34.88,39.65,9.72,8.55,6.94,4.65,9.54,332.0
23-01-2015,19.0,12.0,14.7,12.9,347.4,1019.6,69.1,1.5,128.73,136.07,11.99,17.35,29.46,39.98,8.71,4.91,10.91,2.74,7.64,254.0
24-01-2015,16.0,10.2,12.4,10.3,291.9,1020.2,59.3,1.0,164.98,200.02,10.38,15.77,25.49,38.77,8.65,12.04,9.35,3.03,5.5,324.0
25-01-2015,17.2,9.0,12.0,9.8,285.8,1020.1,52.9,0.9,148.59,203.81,11.82,20.83,28.29,45.62,8.6,6.7,16.65,3.71,6.98,333.0
26-01-2015,15.8,11.0,13.3,11.6,328.4,1019.6,83.4,1.0,129.34,137.86,12.46,25.66,29.48,60.96,5.26,6.35,18.18,3.0,5.87,292.0
27-01-2015,17.9,9.0,13.3,10.0,293.4,1019.1,42.4,1.0,154.2,217.2,14.41,30.39,34.63,40.96,5.69,5.81,17.11,3.42,6.31,318.0
28-01-2015,17.0,8.0,10.9,8.1,281.8,1017.9,36.5,1.4,134.6,156.9,18.96,28.6,35.57,49.71,7.45,4.63,15.23,3.75,6.86,295.0
29-01-2015,18.0,5.0,11.0,6.1,284.3,1018.7,5.7,1.8,173.13,277.0,23.14,38.34,48.89,62.03,8.71,4.07,16.29,4.24,9.84,327.0
30-01-2015,19.0,6.0,11.9,6.4,288.2,1020.4,0.0,2.3,178.04,272.61,19.8,38.43,44.45,69.78,9.35,3.95,14.91,3.86,6.61,345.0
31-01-2015,20.5,7.0,12.9,6.9,280.0,1017.7,12.8,2.3,158.59,207.06,30.67,41.36,57.77,67.66,8.02,3.97,17.51,3.74,8.98,334.0
